"timeMillisSpent","score"
4984,"1340hard/-27960soft"
4984,"1340hard/-27880soft"
5047,"1340hard/-27860soft"
5056,"1340hard/-27820soft"
5073,"1340hard/-27780soft"
5124,"1340hard/-27700soft"
5125,"1340hard/-27680soft"
5125,"1340hard/-27560soft"
5125,"1340hard/-27520soft"
5289,"1340hard/-27440soft"
5290,"1340hard/-27320soft"
5405,"1340hard/-27220soft"
5481,"1340hard/-27200soft"
5503,"1340hard/-27160soft"
5566,"1340hard/-27060soft"
5587,"1340hard/-27020soft"
5610,"1340hard/-26980soft"
5712,"1340hard/-26740soft"
5797,"1340hard/-26660soft"
5842,"1340hard/-26600soft"
5863,"1340hard/-26560soft"
5863,"1340hard/-26480soft"
6089,"1340hard/-26400soft"
6104,"1340hard/-26380soft"
6126,"1340hard/-26360soft"
6143,"1340hard/-26320soft"
6147,"1340hard/-26260soft"
6237,"1340hard/-26220soft"
6285,"1340hard/-26180soft"
6336,"1340hard/-26140soft"
6387,"1340hard/-26120soft"
6394,"1340hard/-26100soft"
6401,"1340hard/-26060soft"
6517,"1340hard/-26040soft"
6637,"1340hard/-26000soft"
6672,"1340hard/-25980soft"
6718,"1340hard/-25920soft"
6723,"1340hard/-25640soft"
6820,"1340hard/-25620soft"
6872,"1340hard/-25600soft"
6925,"1340hard/-25500soft"
6925,"1340hard/-25420soft"
7009,"1340hard/-25380soft"
7144,"1340hard/-25340soft"
7294,"1340hard/-25320soft"
7294,"1340hard/-25240soft"
7439,"1340hard/-25220soft"
7446,"1340hard/-25100soft"
7457,"1340hard/-25040soft"
7466,"1340hard/-24980soft"
7476,"1340hard/-24960soft"
7516,"1340hard/-24940soft"
7520,"1340hard/-24840soft"
7521,"1340hard/-24800soft"
7548,"1340hard/-24780soft"
7573,"1340hard/-24720soft"
7585,"1340hard/-24620soft"
7628,"1340hard/-24600soft"
7634,"1340hard/-24580soft"
7678,"1340hard/-24520soft"
7678,"1340hard/-24440soft"
7679,"1340hard/-24320soft"
8009,"1340hard/-24300soft"
8037,"1340hard/-24260soft"
8093,"1340hard/-24220soft"
8103,"1340hard/-24160soft"
8103,"1340hard/-23920soft"
8395,"1340hard/-23880soft"
8430,"1340hard/-23860soft"
8568,"1340hard/-23800soft"
