"timeMillisSpent","score"
3455,"1280hard/-19900soft"
3464,"1280hard/-19780soft"
3464,"1280hard/-19620soft"
3479,"1280hard/-19540soft"
3482,"1280hard/-19520soft"
3492,"1280hard/-19420soft"
3499,"1280hard/-19320soft"
3502,"1280hard/-19220soft"
3937,"1300hard/-20460soft"
3942,"1300hard/-20360soft"
3944,"1300hard/-20240soft"
3959,"1300hard/-20200soft"
3975,"1300hard/-20120soft"
3976,"1300hard/-20040soft"
3978,"1300hard/-19940soft"
3979,"1300hard/-19860soft"
3981,"1320hard/-20260soft"
3981,"1320hard/-20180soft"
3982,"1320hard/-20080soft"
3986,"1320hard/-19980soft"
3987,"1320hard/-19900soft"
3995,"1320hard/-19820soft"
3996,"1320hard/-19740soft"
4462,"1320hard/-19660soft"
4465,"1320hard/-19580soft"
6372,"1340hard/-20600soft"
6391,"1340hard/-20560soft"
6392,"1340hard/-20460soft"
6394,"1340hard/-20380soft"
6394,"1340hard/-20300soft"
6398,"1340hard/-20220soft"
6409,"1340hard/-20180soft"
6411,"1340hard/-20060soft"
6610,"1340hard/-20020soft"
6612,"1340hard/-19920soft"
6616,"1340hard/-19800soft"
6630,"1340hard/-19700soft"
8072,"1340hard/-19680soft"
8183,"1340hard/-19600soft"
8735,"1340hard/-19560soft"
8736,"1340hard/-19500soft"
8738,"1340hard/-19480soft"
8753,"1340hard/-19360soft"
9463,"1340hard/-19340soft"
9660,"1340hard/-19320soft"
12649,"1340hard/-19220soft"
12653,"1340hard/-19180soft"
12654,"1340hard/-19100soft"
24267,"1340hard/-19040soft"
24288,"1340hard/-18980soft"
51385,"1340hard/-18920soft"
58297,"1340hard/-18900soft"
80853,"1340hard/-18800soft"
80862,"1340hard/-18720soft"
81045,"1340hard/-18640soft"
81046,"1340hard/-18560soft"
81054,"1340hard/-18460soft"
81061,"1340hard/-18440soft"
81064,"1340hard/-18300soft"
103846,"1340hard/-18280soft"
103848,"1340hard/-18200soft"
103851,"1340hard/-18100soft"
133591,"1340hard/-18000soft"
133613,"1340hard/-17900soft"
147469,"1340hard/-17840soft"
147649,"1340hard/-17760soft"
150896,"1340hard/-17740soft"
150899,"1340hard/-17660soft"
150908,"1340hard/-17540soft"
161232,"1340hard/-17480soft"
161977,"1340hard/-17440soft"
161985,"1340hard/-17360soft"
161989,"1340hard/-17240soft"
184512,"1340hard/-17220soft"
184518,"1340hard/-17140soft"
187800,"1340hard/-17020soft"
200116,"1340hard/-16960soft"
200169,"1340hard/-16900soft"
208729,"1340hard/-16860soft"
210048,"1340hard/-16820soft"
211334,"1340hard/-16780soft"
211339,"1340hard/-16700soft"
211341,"1340hard/-16660soft"
218591,"1340hard/-16620soft"
220570,"1340hard/-16600soft"
220584,"1340hard/-16520soft"
220598,"1340hard/-16440soft"
220667,"1340hard/-16420soft"
224990,"1340hard/-16360soft"
227605,"1340hard/-16300soft"
237059,"1340hard/-16220soft"
240322,"1340hard/-16180soft"
240511,"1340hard/-16160soft"
240594,"1340hard/-16080soft"
240673,"1340hard/-16060soft"
255762,"1340hard/-16020soft"
256255,"1340hard/-15940soft"
256349,"1340hard/-15920soft"
260065,"1340hard/-15840soft"
260489,"1340hard/-15800soft"
271094,"1340hard/-15780soft"
