"timeMillisSpent","score"
37428,"1340hard/-22740soft"
37713,"1340hard/-22720soft"
37732,"1340hard/-22680soft"
38473,"1340hard/-22660soft"
39111,"1340hard/-22620soft"
39116,"1340hard/-22600soft"
39266,"1340hard/-22520soft"
39506,"1340hard/-22460soft"
40259,"1340hard/-22380soft"
40396,"1340hard/-22280soft"
41988,"1340hard/-22240soft"
42219,"1340hard/-22160soft"
42923,"1340hard/-22100soft"
42924,"1340hard/-22020soft"
45239,"1340hard/-21960soft"
45954,"1340hard/-21940soft"
45957,"1340hard/-21780soft"
46573,"1340hard/-21760soft"
46846,"1340hard/-21680soft"
48141,"1340hard/-21560soft"
48142,"1340hard/-21520soft"
48501,"1340hard/-21440soft"
48501,"1340hard/-21400soft"
50883,"1340hard/-21380soft"
50892,"1340hard/-21360soft"
51454,"1340hard/-21260soft"
52647,"1340hard/-21240soft"
53212,"1340hard/-21220soft"
53214,"1340hard/-21140soft"
53403,"1340hard/-21120soft"
53404,"1340hard/-21080soft"
55184,"1340hard/-21060soft"
55188,"1340hard/-21020soft"
55430,"1340hard/-20960soft"
55986,"1340hard/-20880soft"
55996,"1340hard/-20840soft"
58904,"1340hard/-20800soft"
59103,"1340hard/-20780soft"
59254,"1340hard/-20720soft"
59255,"1340hard/-20600soft"
61504,"1340hard/-20520soft"
63111,"1340hard/-20500soft"
63763,"1340hard/-20480soft"
63830,"1340hard/-20440soft"
64136,"1340hard/-20420soft"
64552,"1340hard/-20300soft"
64642,"1340hard/-20280soft"
64891,"1340hard/-20220soft"
68468,"1340hard/-20200soft"
69053,"1340hard/-20180soft"
69071,"1340hard/-20160soft"
69622,"1340hard/-20140soft"
70498,"1340hard/-20060soft"
72035,"1340hard/-20040soft"
72529,"1340hard/-19980soft"
72529,"1340hard/-19900soft"
74632,"1340hard/-19880soft"
75617,"1340hard/-19860soft"
75690,"1340hard/-19840soft"
76627,"1340hard/-19820soft"
76632,"1340hard/-19800soft"
77471,"1340hard/-19760soft"
78532,"1340hard/-19740soft"
78962,"1340hard/-19680soft"
79637,"1340hard/-19600soft"
81261,"1340hard/-19540soft"
82662,"1340hard/-19460soft"
82895,"1340hard/-19440soft"
83894,"1340hard/-19380soft"
85245,"1340hard/-19360soft"
85442,"1340hard/-19340soft"
85444,"1340hard/-19300soft"
87974,"1340hard/-19280soft"
88287,"1340hard/-19240soft"
88507,"1340hard/-19220soft"
88741,"1340hard/-19140soft"
92558,"1340hard/-19100soft"
93257,"1340hard/-19080soft"
93300,"1340hard/-19060soft"
93324,"1340hard/-19020soft"
93921,"1340hard/-19000soft"
95172,"1340hard/-18980soft"
95180,"1340hard/-18940soft"
95662,"1340hard/-18880soft"
95662,"1340hard/-18760soft"
101466,"1340hard/-18740soft"
102500,"1340hard/-18720soft"
103915,"1340hard/-18660soft"
106204,"1340hard/-18620soft"
106205,"1340hard/-18540soft"
108899,"1340hard/-18520soft"
108947,"1340hard/-18500soft"
108949,"1340hard/-18480soft"
