"timeMillisSpent","score"
29852,"1340hard/-16460soft"
32360,"1340hard/-16420soft"
32604,"1340hard/-16400soft"
34722,"1340hard/-16380soft"
35726,"1340hard/-16300soft"
38146,"1340hard/-16280soft"
38243,"1340hard/-16240soft"
38365,"1340hard/-16200soft"
40554,"1340hard/-16180soft"
40652,"1340hard/-16100soft"
41968,"1340hard/-16060soft"
44523,"1340hard/-16040soft"
45792,"1340hard/-16020soft"
47895,"1340hard/-15980soft"
49435,"1340hard/-15940soft"
49787,"1340hard/-15920soft"
52964,"1340hard/-15860soft"
53857,"1340hard/-15840soft"
63259,"1340hard/-15800soft"
64970,"1340hard/-15780soft"
68990,"1340hard/-15760soft"
73761,"1340hard/-15740soft"
78492,"1340hard/-15720soft"
